StudyID,GroupID,SnapshotDate,n,n_at_risk,n_flagged,n_at_risk_or_flagged
AA-AA-000-0000,10,2016-12-01,12,1,0,1
AA-AA-000-0000,10,2017-03-01,12,1,0,1
AA-AA-000-0000,10,2017-06-01,12,1,0,1
AA-AA-000-0000,10,2017-09-01,12,1,0,1
AA-AA-000-0000,10,2017-12-01,12,1,0,1
AA-AA-000-0000,10,2018-03-01,12,1,0,1
AA-AA-000-0000,10,2018-06-01,12,1,0,1
AA-AA-000-0000,10,2018-09-01,12,1,0,1
AA-AA-000-0000,10,2018-12-01,12,1,0,1
AA-AA-000-0000,10,2019-03-01,12,1,0,1
AA-AA-000-0000,10,2019-06-01,12,0,0,0
AA-AA-000-0000,10,2019-09-01,12,1,0,1
AA-AA-000-0000,10,2019-12-01,12,1,0,1
AA-AA-000-0000,100,2011-12-01,11,0,0,0
AA-AA-000-0000,100,2012-03-01,11,0,0,0
AA-AA-000-0000,100,2012-06-01,12,0,0,0
AA-AA-000-0000,100,2012-09-01,12,0,0,0
AA-AA-000-0000,100,2012-12-01,12,0,0,0
AA-AA-000-0000,100,2013-03-01,12,0,0,0
AA-AA-000-0000,100,2013-06-01,12,0,0,0
AA-AA-000-0000,100,2013-09-01,12,0,0,0
AA-AA-000-0000,100,2013-12-01,12,1,0,1
AA-AA-000-0000,100,2014-03-01,12,1,0,1
AA-AA-000-0000,100,2014-06-01,12,1,0,1
AA-AA-000-0000,100,2014-09-01,12,1,0,1
AA-AA-000-0000,100,2014-12-01,12,1,0,1
AA-AA-000-0000,100,2015-03-01,12,1,0,1
AA-AA-000-0000,100,2015-06-01,12,0,0,0
AA-AA-000-0000,100,2015-09-01,12,0,0,0
AA-AA-000-0000,100,2015-12-01,12,1,0,1
AA-AA-000-0000,100,2016-03-01,12,1,0,1
AA-AA-000-0000,100,2016-06-01,12,1,0,1
AA-AA-000-0000,100,2016-09-01,12,1,0,1
AA-AA-000-0000,100,2016-12-01,12,1,0,1
AA-AA-000-0000,100,2017-03-01,12,1,0,1
AA-AA-000-0000,100,2017-06-01,12,1,0,1
AA-AA-000-0000,100,2017-09-01,12,1,0,1
AA-AA-000-0000,100,2017-12-01,12,1,0,1
AA-AA-000-0000,100,2018-03-01,12,1,0,1
AA-AA-000-0000,100,2018-06-01,12,1,0,1
AA-AA-000-0000,100,2018-09-01,12,1,0,1
AA-AA-000-0000,100,2018-12-01,12,1,0,1
AA-AA-000-0000,100,2019-03-01,12,1,0,1
AA-AA-000-0000,100,2019-06-01,12,1,0,1
AA-AA-000-0000,100,2019-09-01,12,1,0,1
AA-AA-000-0000,100,2019-12-01,12,1,0,1
AA-AA-000-0000,101,2006-06-01,12,0,0,0
AA-AA-000-0000,101,2006-09-01,12,0,0,0
AA-AA-000-0000,101,2006-12-01,12,0,0,0
AA-AA-000-0000,101,2007-03-01,12,0,0,0
AA-AA-000-0000,101,2007-06-01,12,0,0,0
AA-AA-000-0000,101,2007-09-01,12,0,0,0
AA-AA-000-0000,101,2007-12-01,12,0,0,0
AA-AA-000-0000,101,2008-03-01,12,0,0,0
AA-AA-000-0000,101,2008-06-01,12,0,0,0
AA-AA-000-0000,101,2008-09-01,12,0,0,0
AA-AA-000-0000,101,2008-12-01,12,0,0,0
AA-AA-000-0000,101,2009-03-01,12,0,0,0
AA-AA-000-0000,101,2009-06-01,12,0,0,0
AA-AA-000-0000,101,2009-09-01,12,0,0,0
AA-AA-000-0000,101,2009-12-01,12,0,0,0
AA-AA-000-0000,101,2010-03-01,12,0,0,0
AA-AA-000-0000,101,2010-06-01,12,0,0,0
AA-AA-000-0000,101,2010-09-01,12,0,0,0
AA-AA-000-0000,101,2010-12-01,12,0,0,0
AA-AA-000-0000,101,2011-03-01,12,0,0,0
AA-AA-000-0000,101,2011-06-01,12,0,0,0
AA-AA-000-0000,101,2011-09-01,12,0,0,0
AA-AA-000-0000,101,2011-12-01,12,0,0,0
AA-AA-000-0000,101,2012-03-01,12,0,0,0
AA-AA-000-0000,101,2012-06-01,12,0,0,0
AA-AA-000-0000,101,2012-09-01,12,0,0,0
AA-AA-000-0000,101,2012-12-01,12,0,0,0
AA-AA-000-0000,101,2013-03-01,12,0,0,0
AA-AA-000-0000,101,2013-06-01,12,0,0,0
AA-AA-000-0000,101,2013-09-01,12,0,0,0
AA-AA-000-0000,101,2013-12-01,12,0,0,0
AA-AA-000-0000,101,2014-03-01,12,0,0,0
AA-AA-000-0000,101,2014-06-01,12,0,0,0
AA-AA-000-0000,101,2014-09-01,12,0,0,0
AA-AA-000-0000,101,2014-12-01,12,0,0,0
AA-AA-000-0000,101,2015-03-01,12,0,0,0
AA-AA-000-0000,101,2015-06-01,12,0,0,0
AA-AA-000-0000,101,2015-09-01,12,0,0,0
AA-AA-000-0000,101,2015-12-01,12,0,0,0
AA-AA-000-0000,101,2016-03-01,12,0,0,0
AA-AA-000-0000,101,2016-06-01,12,0,0,0
AA-AA-000-0000,101,2016-09-01,12,0,0,0
AA-AA-000-0000,101,2016-12-01,12,0,0,0
AA-AA-000-0000,101,2017-03-01,12,0,0,0
AA-AA-000-0000,101,2017-06-01,12,0,0,0
AA-AA-000-0000,101,2017-09-01,12,0,0,0
AA-AA-000-0000,101,2017-12-01,12,0,0,0
AA-AA-000-0000,101,2018-03-01,12,0,0,0
AA-AA-000-0000,101,2018-06-01,12,0,0,0
AA-AA-000-0000,101,2018-09-01,12,0,0,0
AA-AA-000-0000,101,2018-12-01,12,0,0,0
AA-AA-000-0000,101,2019-03-01,12,0,0,0
AA-AA-000-0000,101,2019-06-01,12,0,0,0
AA-AA-000-0000,101,2019-09-01,12,0,0,0
AA-AA-000-0000,101,2019-12-01,12,0,0,0
AA-AA-000-0000,102,2006-09-01,1,0,0,0
AA-AA-000-0000,102,2006-12-01,1,0,0,0
AA-AA-000-0000,102,2007-03-01,1,0,0,0
AA-AA-000-0000,102,2007-06-01,1,0,0,0
AA-AA-000-0000,102,2007-09-01,1,0,0,0
AA-AA-000-0000,102,2007-12-01,1,0,0,0
AA-AA-000-0000,102,2008-03-01,1,0,0,0
AA-AA-000-0000,102,2008-06-01,1,0,0,0
AA-AA-000-0000,102,2008-09-01,1,1,0,1
AA-AA-000-0000,102,2008-12-01,1,1,0,1
AA-AA-000-0000,102,2009-03-01,1,1,0,1
AA-AA-000-0000,102,2009-06-01,1,1,0,1
AA-AA-000-0000,102,2009-09-01,1,1,0,1
AA-AA-000-0000,102,2009-12-01,1,1,0,1
AA-AA-000-0000,102,2010-03-01,1,1,0,1
AA-AA-000-0000,102,2010-06-01,1,1,0,1
AA-AA-000-0000,102,2010-09-01,1,1,0,1
AA-AA-000-0000,102,2010-12-01,1,1,0,1
AA-AA-000-0000,102,2011-03-01,1,1,0,1
AA-AA-000-0000,102,2011-06-01,1,1,0,1
AA-AA-000-0000,102,2011-09-01,1,1,0,1
AA-AA-000-0000,102,2011-12-01,1,1,0,1
AA-AA-000-0000,102,2012-03-01,1,1,0,1
AA-AA-000-0000,102,2012-06-01,1,1,0,1
AA-AA-000-0000,102,2012-09-01,1,1,0,1
AA-AA-000-0000,102,2012-12-01,12,0,0,0
AA-AA-000-0000,102,2013-03-01,12,0,0,0
AA-AA-000-0000,102,2013-06-01,12,0,0,0
AA-AA-000-0000,102,2013-09-01,12,0,0,0
AA-AA-000-0000,102,2013-12-01,12,0,0,0
AA-AA-000-0000,102,2014-03-01,12,0,0,0
AA-AA-000-0000,102,2014-06-01,12,0,0,0
AA-AA-000-0000,102,2014-09-01,12,0,0,0
AA-AA-000-0000,102,2014-12-01,12,0,0,0
AA-AA-000-0000,102,2015-03-01,12,0,0,0
AA-AA-000-0000,102,2015-06-01,12,0,0,0
AA-AA-000-0000,102,2015-09-01,12,0,0,0
AA-AA-000-0000,102,2015-12-01,12,0,0,0
AA-AA-000-0000,102,2016-03-01,12,0,0,0
AA-AA-000-0000,102,2016-06-01,12,0,0,0
AA-AA-000-0000,102,2016-09-01,12,0,0,0
AA-AA-000-0000,102,2016-12-01,12,0,0,0
AA-AA-000-0000,102,2017-03-01,12,0,0,0
AA-AA-000-0000,102,2017-06-01,12,0,0,0
AA-AA-000-0000,102,2017-09-01,12,0,0,0
AA-AA-000-0000,102,2017-12-01,12,0,0,0
AA-AA-000-0000,102,2018-03-01,12,0,0,0
AA-AA-000-0000,102,2018-06-01,12,0,0,0
AA-AA-000-0000,102,2018-09-01,12,0,0,0
AA-AA-000-0000,102,2018-12-01,12,0,0,0
AA-AA-000-0000,102,2019-03-01,12,0,0,0
AA-AA-000-0000,102,2019-06-01,12,0,0,0
AA-AA-000-0000,102,2019-09-01,12,0,0,0
AA-AA-000-0000,102,2019-12-01,12,0,0,0
AA-AA-000-0000,103,2008-06-01,12,1,0,1
AA-AA-000-0000,103,2008-09-01,12,2,0,2
AA-AA-000-0000,103,2008-12-01,12,1,0,1
AA-AA-000-0000,103,2009-03-01,12,1,0,1
AA-AA-000-0000,103,2009-06-01,12,1,0,1
AA-AA-000-0000,103,2009-09-01,12,1,0,1
AA-AA-000-0000,103,2009-12-01,12,1,0,1
AA-AA-000-0000,103,2010-03-01,12,1,0,1
AA-AA-000-0000,103,2010-06-01,12,1,0,1
AA-AA-000-0000,103,2010-09-01,12,1,0,1
AA-AA-000-0000,103,2010-12-01,12,1,0,1
AA-AA-000-0000,103,2011-03-01,12,1,0,1
AA-AA-000-0000,103,2011-06-01,12,1,0,1
AA-AA-000-0000,103,2011-09-01,12,1,0,1
AA-AA-000-0000,103,2011-12-01,12,1,0,1
AA-AA-000-0000,103,2012-03-01,12,1,0,1
AA-AA-000-0000,103,2012-06-01,12,1,0,1
AA-AA-000-0000,103,2012-09-01,12,1,0,1
AA-AA-000-0000,103,2012-12-01,12,1,0,1
AA-AA-000-0000,103,2013-03-01,12,1,0,1
AA-AA-000-0000,103,2013-06-01,12,1,0,1
AA-AA-000-0000,103,2013-09-01,12,1,0,1
AA-AA-000-0000,103,2013-12-01,12,1,0,1
AA-AA-000-0000,103,2014-03-01,12,1,0,1
AA-AA-000-0000,103,2014-06-01,12,1,0,1
AA-AA-000-0000,103,2014-09-01,12,0,0,0
AA-AA-000-0000,103,2014-12-01,12,0,0,0
AA-AA-000-0000,103,2015-03-01,12,0,0,0
AA-AA-000-0000,103,2015-06-01,12,0,0,0
AA-AA-000-0000,103,2015-09-01,12,0,0,0
AA-AA-000-0000,103,2015-12-01,12,0,0,0
AA-AA-000-0000,103,2016-03-01,12,0,0,0
AA-AA-000-0000,103,2016-06-01,12,0,0,0
AA-AA-000-0000,103,2016-09-01,12,0,0,0
AA-AA-000-0000,103,2016-12-01,12,0,0,0
AA-AA-000-0000,103,2017-03-01,12,0,0,0
AA-AA-000-0000,103,2017-06-01,12,0,0,0
AA-AA-000-0000,103,2017-09-01,12,0,0,0
AA-AA-000-0000,103,2017-12-01,12,0,0,0
AA-AA-000-0000,103,2018-03-01,12,0,0,0
AA-AA-000-0000,103,2018-06-01,12,0,0,0
AA-AA-000-0000,103,2018-09-01,12,0,0,0
AA-AA-000-0000,103,2018-12-01,12,0,0,0
AA-AA-000-0000,103,2019-03-01,12,0,0,0
AA-AA-000-0000,103,2019-06-01,12,0,0,0
AA-AA-000-0000,103,2019-09-01,12,0,0,0
AA-AA-000-0000,103,2019-12-01,12,0,0,0
AA-AA-000-0000,104,2004-09-01,1,0,0,0
AA-AA-000-0000,104,2004-12-01,1,0,0,0
AA-AA-000-0000,104,2005-03-01,10,0,0,0
AA-AA-000-0000,104,2005-06-01,12,0,0,0
AA-AA-000-0000,104,2005-09-01,12,1,0,1
AA-AA-000-0000,104,2005-12-01,12,1,0,1
AA-AA-000-0000,104,2006-03-01,12,1,0,1
AA-AA-000-0000,104,2006-06-01,12,1,0,1
AA-AA-000-0000,104,2006-09-01,12,1,0,1
AA-AA-000-0000,104,2006-12-01,12,1,0,1
AA-AA-000-0000,104,2007-03-01,12,1,0,1
AA-AA-000-0000,104,2007-06-01,12,1,0,1
AA-AA-000-0000,104,2007-09-01,12,0,0,0
AA-AA-000-0000,104,2007-12-01,12,0,0,0
AA-AA-000-0000,104,2008-03-01,12,0,0,0
AA-AA-000-0000,104,2008-06-01,12,1,0,1
AA-AA-000-0000,104,2008-09-01,12,0,0,0
AA-AA-000-0000,104,2008-12-01,12,0,0,0
AA-AA-000-0000,104,2009-03-01,12,0,0,0
AA-AA-000-0000,104,2009-06-01,12,0,0,0
AA-AA-000-0000,104,2009-09-01,12,0,0,0
AA-AA-000-0000,104,2009-12-01,12,0,0,0
AA-AA-000-0000,104,2010-03-01,12,0,0,0
AA-AA-000-0000,104,2010-06-01,12,0,0,0
AA-AA-000-0000,104,2010-09-01,12,0,0,0
AA-AA-000-0000,104,2010-12-01,12,0,0,0
AA-AA-000-0000,104,2011-03-01,12,0,0,0
AA-AA-000-0000,104,2011-06-01,12,1,0,1
AA-AA-000-0000,104,2011-09-01,12,1,0,1
AA-AA-000-0000,104,2011-12-01,12,1,0,1
AA-AA-000-0000,104,2012-03-01,12,0,0,0
AA-AA-000-0000,104,2012-06-01,12,0,0,0
AA-AA-000-0000,104,2012-09-01,12,0,0,0
AA-AA-000-0000,104,2012-12-01,12,0,1,1
AA-AA-000-0000,104,2013-03-01,12,1,0,1
AA-AA-000-0000,104,2013-06-01,12,0,0,0
AA-AA-000-0000,104,2013-09-01,12,0,0,0
AA-AA-000-0000,104,2013-12-01,12,1,0,1
AA-AA-000-0000,104,2014-03-01,12,1,0,1
AA-AA-000-0000,104,2014-06-01,12,1,0,1
AA-AA-000-0000,104,2014-09-01,12,1,0,1
AA-AA-000-0000,104,2014-12-01,12,1,0,1
AA-AA-000-0000,104,2015-03-01,12,1,0,1
AA-AA-000-0000,104,2015-06-01,12,1,0,1
AA-AA-000-0000,104,2015-09-01,12,1,0,1
AA-AA-000-0000,104,2015-12-01,12,1,0,1
AA-AA-000-0000,104,2016-03-01,12,1,0,1
AA-AA-000-0000,104,2016-06-01,12,1,0,1
AA-AA-000-0000,104,2016-09-01,12,1,0,1
AA-AA-000-0000,104,2016-12-01,12,1,0,1
AA-AA-000-0000,104,2017-03-01,12,1,0,1
AA-AA-000-0000,104,2017-06-01,12,1,0,1
AA-AA-000-0000,104,2017-09-01,12,1,0,1
AA-AA-000-0000,104,2017-12-01,12,1,0,1
AA-AA-000-0000,104,2018-03-01,12,1,0,1
AA-AA-000-0000,104,2018-06-01,12,1,0,1
AA-AA-000-0000,104,2018-09-01,12,1,0,1
AA-AA-000-0000,104,2018-12-01,12,1,0,1
AA-AA-000-0000,104,2019-03-01,12,1,0,1
AA-AA-000-0000,104,2019-06-01,12,1,0,1
AA-AA-000-0000,104,2019-09-01,12,1,0,1
AA-AA-000-0000,104,2019-12-01,12,1,0,1
AA-AA-000-0000,105,2007-09-01,12,0,0,0
AA-AA-000-0000,105,2007-12-01,12,0,0,0
AA-AA-000-0000,105,2008-03-01,12,0,0,0
AA-AA-000-0000,105,2008-06-01,12,0,0,0
AA-AA-000-0000,105,2008-09-01,12,0,0,0
AA-AA-000-0000,105,2008-12-01,12,0,0,0
AA-AA-000-0000,105,2009-03-01,12,0,0,0
AA-AA-000-0000,105,2009-06-01,12,0,0,0
AA-AA-000-0000,105,2009-09-01,12,0,0,0
AA-AA-000-0000,105,2009-12-01,12,0,0,0
AA-AA-000-0000,105,2010-03-01,12,0,0,0
AA-AA-000-0000,105,2010-06-01,12,0,0,0
AA-AA-000-0000,105,2010-09-01,12,0,0,0
AA-AA-000-0000,105,2010-12-01,12,0,0,0
AA-AA-000-0000,105,2011-03-01,12,0,0,0
AA-AA-000-0000,105,2011-06-01,12,0,0,0
AA-AA-000-0000,105,2011-09-01,12,0,0,0
AA-AA-000-0000,105,2011-12-01,12,1,0,1
AA-AA-000-0000,105,2012-03-01,12,1,0,1
AA-AA-000-0000,105,2012-06-01,12,0,0,0
AA-AA-000-0000,105,2012-09-01,12,0,0,0
AA-AA-000-0000,105,2012-12-01,12,0,0,0
AA-AA-000-0000,105,2013-03-01,12,0,0,0
AA-AA-000-0000,105,2013-06-01,12,0,0,0
AA-AA-000-0000,105,2013-09-01,12,0,0,0
AA-AA-000-0000,105,2013-12-01,12,0,0,0
AA-AA-000-0000,105,2014-03-01,12,0,0,0
AA-AA-000-0000,105,2014-06-01,12,1,0,1
AA-AA-000-0000,105,2014-09-01,12,0,0,0
AA-AA-000-0000,105,2014-12-01,12,0,0,0
AA-AA-000-0000,105,2015-03-01,12,0,0,0
AA-AA-000-0000,105,2015-06-01,12,0,0,0
AA-AA-000-0000,105,2015-09-01,12,0,0,0
AA-AA-000-0000,105,2015-12-01,12,0,0,0
AA-AA-000-0000,105,2016-03-01,12,0,0,0
AA-AA-000-0000,105,2016-06-01,12,0,0,0
AA-AA-000-0000,105,2016-09-01,12,0,0,0
AA-AA-000-0000,105,2016-12-01,12,0,0,0
AA-AA-000-0000,105,2017-03-01,12,0,0,0
AA-AA-000-0000,105,2017-06-01,12,0,0,0
AA-AA-000-0000,105,2017-09-01,12,0,0,0
AA-AA-000-0000,105,2017-12-01,12,0,0,0
AA-AA-000-0000,105,2018-03-01,12,0,0,0
AA-AA-000-0000,105,2018-06-01,12,0,0,0
AA-AA-000-0000,105,2018-09-01,12,0,0,0
AA-AA-000-0000,105,2018-12-01,12,0,0,0
AA-AA-000-0000,105,2019-03-01,12,0,0,0
AA-AA-000-0000,105,2019-06-01,12,0,0,0
AA-AA-000-0000,105,2019-09-01,12,0,0,0
AA-AA-000-0000,105,2019-12-01,12,0,0,0
AA-AA-000-0000,106,2003-12-01,10,0,0,0
AA-AA-000-0000,106,2004-03-01,12,0,0,0
AA-AA-000-0000,106,2004-06-01,12,0,0,0
AA-AA-000-0000,106,2004-09-01,12,0,0,0
AA-AA-000-0000,106,2004-12-01,12,0,0,0
AA-AA-000-0000,106,2005-03-01,12,0,0,0
AA-AA-000-0000,106,2005-06-01,12,0,0,0
AA-AA-000-0000,106,2005-09-01,12,0,0,0
AA-AA-000-0000,106,2005-12-01,12,0,0,0
AA-AA-000-0000,106,2006-03-01,12,0,0,0
AA-AA-000-0000,106,2006-06-01,12,0,0,0
AA-AA-000-0000,106,2006-09-01,12,0,0,0
AA-AA-000-0000,106,2006-12-01,12,0,0,0
AA-AA-000-0000,106,2007-03-01,12,0,0,0
AA-AA-000-0000,106,2007-06-01,12,0,0,0
AA-AA-000-0000,106,2007-09-01,12,0,0,0
AA-AA-000-0000,106,2007-12-01,12,0,0,0
AA-AA-000-0000,106,2008-03-01,12,0,0,0
AA-AA-000-0000,106,2008-06-01,12,0,0,0
AA-AA-000-0000,106,2008-09-01,12,0,0,0
AA-AA-000-0000,106,2008-12-01,12,0,0,0
AA-AA-000-0000,106,2009-03-01,12,0,0,0
AA-AA-000-0000,106,2009-06-01,12,0,0,0
AA-AA-000-0000,106,2009-09-01,12,0,0,0
AA-AA-000-0000,106,2009-12-01,12,0,0,0
AA-AA-000-0000,106,2010-03-01,12,0,0,0
AA-AA-000-0000,106,2010-06-01,12,0,0,0
AA-AA-000-0000,106,2010-09-01,12,0,0,0
AA-AA-000-0000,106,2010-12-01,12,0,0,0
AA-AA-000-0000,106,2011-03-01,12,0,0,0
AA-AA-000-0000,106,2011-06-01,12,0,0,0
AA-AA-000-0000,106,2011-09-01,12,0,0,0
AA-AA-000-0000,106,2011-12-01,12,0,0,0
AA-AA-000-0000,106,2012-03-01,12,0,0,0
AA-AA-000-0000,106,2012-06-01,12,0,0,0
AA-AA-000-0000,106,2012-09-01,12,0,0,0
AA-AA-000-0000,106,2012-12-01,12,0,0,0
AA-AA-000-0000,106,2013-03-01,12,0,0,0
AA-AA-000-0000,106,2013-06-01,12,0,0,0
AA-AA-000-0000,106,2013-09-01,12,0,0,0
AA-AA-000-0000,106,2013-12-01,12,0,0,0
AA-AA-000-0000,106,2014-03-01,12,0,0,0
AA-AA-000-0000,106,2014-06-01,12,0,0,0
AA-AA-000-0000,106,2014-09-01,12,0,0,0
AA-AA-000-0000,106,2014-12-01,12,0,0,0
AA-AA-000-0000,106,2015-03-01,12,0,0,0
AA-AA-000-0000,106,2015-06-01,12,0,0,0
AA-AA-000-0000,106,2015-09-01,12,0,0,0
AA-AA-000-0000,106,2015-12-01,12,0,0,0
AA-AA-000-0000,106,2016-03-01,12,0,0,0
AA-AA-000-0000,106,2016-06-01,12,0,0,0
AA-AA-000-0000,106,2016-09-01,12,0,0,0
AA-AA-000-0000,106,2016-12-01,12,0,0,0
AA-AA-000-0000,106,2017-03-01,12,0,0,0
AA-AA-000-0000,106,2017-06-01,12,0,0,0
AA-AA-000-0000,106,2017-09-01,12,0,0,0
AA-AA-000-0000,106,2017-12-01,12,0,0,0
AA-AA-000-0000,106,2018-03-01,12,0,0,0
AA-AA-000-0000,106,2018-06-01,12,0,0,0
AA-AA-000-0000,106,2018-09-01,12,0,0,0
AA-AA-000-0000,106,2018-12-01,12,0,0,0
AA-AA-000-0000,106,2019-03-01,12,0,0,0
AA-AA-000-0000,106,2019-06-01,12,0,0,0
AA-AA-000-0000,106,2019-09-01,12,0,0,0
AA-AA-000-0000,106,2019-12-01,12,0,0,0
AA-AA-000-0000,107,2007-12-01,12,0,1,1
AA-AA-000-0000,107,2008-03-01,12,1,0,1
AA-AA-000-0000,107,2008-06-01,12,0,0,0
AA-AA-000-0000,107,2008-09-01,12,0,0,0
AA-AA-000-0000,107,2008-12-01,12,0,0,0
AA-AA-000-0000,107,2009-03-01,12,0,0,0
AA-AA-000-0000,107,2009-06-01,12,1,0,1
AA-AA-000-0000,107,2009-09-01,12,1,0,1
AA-AA-000-0000,107,2009-12-01,12,1,0,1
AA-AA-000-0000,107,2010-03-01,12,1,0,1
AA-AA-000-0000,107,2010-06-01,12,1,0,1
AA-AA-000-0000,107,2010-09-01,12,1,0,1
AA-AA-000-0000,107,2010-12-01,12,0,0,0
AA-AA-000-0000,107,2011-03-01,12,0,0,0
AA-AA-000-0000,107,2011-06-01,12,0,0,0
AA-AA-000-0000,107,2011-09-01,12,0,0,0
AA-AA-000-0000,107,2011-12-01,12,0,0,0
AA-AA-000-0000,107,2012-03-01,12,0,0,0
AA-AA-000-0000,107,2012-06-01,12,0,0,0
AA-AA-000-0000,107,2012-09-01,12,0,0,0
AA-AA-000-0000,107,2012-12-01,12,1,0,1
AA-AA-000-0000,107,2013-03-01,12,0,0,0
