StudyID,MetricID,GroupID,Numerator,Denominator,Metric,Score,Flag,SnapshotDate
AA-AA-000-0000,cou0011,Japan,1387,258538,0.005364782,-1.054244325,0,2023-05-01
AA-AA-000-0000,cou0012,China,304,561,0.541889483,1.355918424,0,2023-05-01
AA-AA-000-0000,cou0012,Japan,157,322,0.48757764,0.385415322,0,2023-05-01
AA-AA-000-0000,cou0012,US,625,1504,0.415558511,-1.006449332,0,2023-05-01
AA-AA-000-0000,kri0001,145,2,4,0.5,NA,NA,2023-05-01
AA-AA-000-0000,kri0001,83,83,4471,0.01856408,3.198261124,2,2023-05-01
AA-AA-000-0000,kri0001,43,385,23066,0.016691234,6.266210986,2,2023-05-01
AA-AA-000-0000,kri0001,154,16,407,0.039312039,2.433825973,1,2023-05-01
AA-AA-000-0000,kri0001,150,35,1591,0.021998743,2.38862169,1,2023-05-01
AA-AA-000-0000,kri0001,25,36,1915,0.018798956,2.129197799,1,2023-05-01
AA-AA-000-0000,kri0001,120,40,2271,0.017613386,2.120411903,1,2023-05-01
AA-AA-000-0000,kri0001,75,106,7621,0.013908936,2.749490507,1,2023-05-01
AA-AA-000-0000,kri0001,91,126,11534,0.010924224,2.257617748,1,2023-05-01
AA-AA-000-0000,kri0001,132,15,671,0.022354694,1.583577063,0,2023-05-01
AA-AA-000-0000,kri0001,165,3,219,0.01369863,0.455166889,0,2023-05-01
AA-AA-000-0000,kri0001,171,9,671,0.013412817,0.770746727,0,2023-05-01
AA-AA-000-0000,kri0001,42,8,672,0.011904762,0.634134247,0,2023-05-01
AA-AA-000-0000,kri0001,31,10,841,0.011890606,0.707964966,0,2023-05-01
AA-AA-000-0000,kri0001,162,16,1346,0.011887073,0.895190874,0,2023-05-01
AA-AA-000-0000,kri0001,105,25,2180,0.01146789,1.070574293,0,2023-05-01
AA-AA-000-0000,kri0001,22,37,3366,0.010992276,1.233455191,0,2023-05-01
AA-AA-000-0000,kri0001,64,29,2690,0.010780669,1.064148442,0,2023-05-01
AA-AA-000-0000,kri0001,157,57,5335,0.010684161,1.473889466,0,2023-05-01
AA-AA-000-0000,kri0001,65,9,847,0.010625738,0.581305405,0,2023-05-01
AA-AA-000-0000,kri0001,55,7,673,0.010401189,0.49772526,0,2023-05-01
AA-AA-000-0000,kri0001,78,7,673,0.010401189,0.49772526,0,2023-05-01
AA-AA-000-0000,kri0001,20,7,675,0.01037037,0.495654502,0,2023-05-01
AA-AA-000-0000,kri0001,182,10,1000,0.01,0.562191038,0,2023-05-01
AA-AA-000-0000,kri0001,119,15,1514,0.00990753,0.679120049,0,2023-05-01
AA-AA-000-0000,kri0001,146,57,5983,0.009526993,1.246737262,0,2023-05-01
AA-AA-000-0000,kri0001,47,24,2522,0.009516257,0.807554129,0,2023-05-01
AA-AA-000-0000,kri0001,128,28,2961,0.009456265,0.863564902,0,2023-05-01
AA-AA-000-0000,kri0001,134,42,4554,0.009222661,1.015637208,0,2023-05-01
AA-AA-000-0000,kri0001,116,16,1739,0.00920069,0.624397666,0,2023-05-01
AA-AA-000-0000,kri0001,15,32,3550,0.009014085,0.853108361,0,2023-05-01
AA-AA-000-0000,kri0001,82,12,1345,0.008921933,0.513251375,0,2023-05-01
AA-AA-000-0000,kri0001,112,14,1596,0.00877193,0.538065352,0,2023-05-01
AA-AA-000-0000,kri0001,86,130,15047,0.008639596,1.595162721,0,2023-05-01
AA-AA-000-0000,kri0001,39,25,2957,0.008454515,0.671822322,0,2023-05-01
AA-AA-000-0000,kri0001,59,48,5719,0.008393076,0.918000559,0,2023-05-01
AA-AA-000-0000,kri0001,133,31,3699,0.008380643,0.735633327,0,2023-05-01
AA-AA-000-0000,kri0001,40,12,1456,0.008241758,0.442932827,0,2023-05-01
AA-AA-000-0000,kri0001,12,5,624,0.008012821,0.269898885,0,2023-05-01
AA-AA-000-0000,kri0001,87,6,750,0.008,0.294664127,0,2023-05-01
AA-AA-000-0000,kri0001,130,15,1876,0.007995736,0.465380956,0,2023-05-01
AA-AA-000-0000,kri0001,56,144,18146,0.007935633,1.41896888,0,2023-05-01
AA-AA-000-0000,kri0001,60,18,2298,0.007832898,0.48767815,0,2023-05-01
AA-AA-000-0000,kri0001,111,12,1597,0.007514089,0.361838155,0,2023-05-01
AA-AA-000-0000,kri0001,8,133,17767,0.007485788,1.193655786,0,2023-05-01
AA-AA-000-0000,kri0001,4,46,6192,0.007428941,0.688975056,0,2023-05-01
AA-AA-000-0000,kri0001,183,11,1513,0.007270324,0.318919845,0,2023-05-01
AA-AA-000-0000,kri0001,151,17,2376,0.007154882,0.379908283,0,2023-05-01
AA-AA-000-0000,kri0001,159,4,560,0.007142857,0.183439046,0,2023-05-01
AA-AA-000-0000,kri0001,80,31,4370,0.007093822,0.50105936,0,2023-05-01
AA-AA-000-0000,kri0001,135,25,3676,0.006800871,0.397224285,0,2023-05-01
AA-AA-000-0000,kri0001,179,21,3130,0.006709265,0.34855433,0,2023-05-01
AA-AA-000-0000,kri0001,181,14,2089,0.006701771,0.283550525,0,2023-05-01
AA-AA-000-0000,kri0001,62,157,23569,0.006661292,0.930619638,0,2023-05-01
AA-AA-000-0000,kri0001,190,33,4955,0.006659939,0.426366608,0,2023-05-01
AA-AA-000-0000,kri0001,138,31,4705,0.006588735,0.398332077,0,2023-05-01
AA-AA-000-0000,kri0001,163,15,2282,0.006573181,0.274803343,0,2023-05-01
AA-AA-000-0000,kri0001,170,136,20714,0.006565608,0.824109754,0,2023-05-01
AA-AA-000-0000,kri0001,124,17,2632,0.006458967,0.274563293,0,2023-05-01
AA-AA-000-0000,kri0001,129,9,1423,0.006324666,0.184105765,0,2023-05-01
AA-AA-000-0000,kri0001,136,11,1765,0.006232295,0.191421157,0,2023-05-01
AA-AA-000-0000,kri0001,122,39,6484,0.006014806,0.305436102,0,2023-05-01
AA-AA-000-0000,kri0001,94,149,24999,0.005960238,0.569459746,0,2023-05-01
AA-AA-000-0000,kri0001,46,4,673,0.005943536,0.091914427,0,2023-05-01
AA-AA-000-0000,kri0001,98,8,1346,0.005943536,0.129986629,0,2023-05-01
AA-AA-000-0000,kri0001,70,12,2020,0.005940594,0.158775813,0,2023-05-01
AA-AA-000-0000,kri0001,48,3,531,0.005649718,0.05788436,0,2023-05-01
AA-AA-000-0000,kri0001,68,15,2679,0.005599104,0.120823967,0,2023-05-01
AA-AA-000-0000,kri0001,166,75,13419,0.00558909,0.266341732,0,2023-05-01
AA-AA-000-0000,kri0001,52,6,1094,0.005484461,0.063903706,0,2023-05-01
AA-AA-000-0000,kri0001,164,27,4932,0.005474453,0.133217623,0,2023-05-01
AA-AA-000-0000,kri0001,185,8,1470,0.005442177,0.068386659,0,2023-05-01
AA-AA-000-0000,kri0001,107,11,2025,0.005432099,0.078673338,0,2023-05-01
AA-AA-000-0000,kri0001,189,119,22173,0.005366888,0.226256227,0,2023-05-01
AA-AA-000-0000,kri0001,174,20,3734,0.005356186,0.090553891,0,2023-05-01
AA-AA-000-0000,kri0001,66,4,754,0.00530504,0.035763208,0,2023-05-01
AA-AA-000-0000,kri0001,7,38,7176,0.005295429,0.107472653,0,2023-05-01
AA-AA-000-0000,kri0001,5,160,30252,0.005288907,0.21668398,0,2023-05-01
AA-AA-000-0000,kri0001,139,209,41429,0.005044775,0.079196975,0,2023-05-01
AA-AA-000-0000,kri0001,118,64,12776,0.005009393,0.029945278,0,2023-05-01
AA-AA-000-0000,kri0001,27,15,3034,0.004943968,0.001946706,0,2023-05-01
AA-AA-000-0000,kri0001,89,17,3521,0.004828174,-0.022014746,0,2023-05-01
AA-AA-000-0000,kri0001,49,13,2717,0.004784689,-0.027292745,0,2023-05-01
AA-AA-000-0000,kri0001,44,16,3357,0.00476616,-0.03410469,0,2023-05-01
AA-AA-000-0000,kri0001,186,15,3203,0.00468311,-0.049807454,0,2023-05-01
AA-AA-000-0000,kri0001,160,24,5134,0.004674718,-0.06516863,0,2023-05-01
AA-AA-000-0000,kri0001,97,16,3545,0.004513399,-0.087858127,0,2023-05-01
AA-AA-000-0000,kri0001,121,20,4456,0.00448833,-0.104374717,0,2023-05-01
AA-AA-000-0000,kri0001,100,6,1354,0.004431315,-0.064897297,0,2023-05-01
AA-AA-000-0000,kri0001,188,9,2032,0.004429134,-0.079847166,0,2023-05-01
AA-AA-000-0000,kri0001,57,6,1356,0.004424779,-0.065789793,0,2023-05-01
AA-AA-000-0000,kri0001,71,33,7509,0.004394726,-0.163956005,0,2023-05-01
AA-AA-000-0000,kri0001,76,40,9390,0.004259851,-0.229209381,0,2023-05-01
AA-AA-000-0000,kri0001,178,6,1429,0.00419874,-0.097522758,0,2023-05-01
AA-AA-000-0000,kri0001,14,3,738,0.004065041,-0.082829709,0,2023-05-01
AA-AA-000-0000,kri0001,17,37,9328,0.003966552,-0.327857776,0,2023-05-01
AA-AA-000-0000,kri0001,137,22,5789,0.003800311,-0.302667811,0,2023-05-01
AA-AA-000-0000,kri0001,58,54,14386,0.003753649,-0.496767437,0,2023-05-01
AA-AA-000-0000,kri0001,142,10,2693,0.003713331,-0.222274404,0,2023-05-01
AA-AA-000-0000,kri0001,11,24,6494,0.003695719,-0.350145975,0,2023-05-01
AA-AA-000-0000,kri0001,69,32,8744,0.003659652,-0.418136284,0,2023-05-01
AA-AA-000-0000,kri0001,115,6,1652,0.003631961,-0.185696846,0,2023-05-01
AA-AA-000-0000,kri0001,104,23,6524,0.003525445,-0.399217094,0,2023-05-01
AA-AA-000-0000,kri0001,102,8,2355,0.003397028,-0.261723288,0,2023-05-01
AA-AA-000-0000,kri0001,53,7,2096,0.003339695,-0.256123265,0,2023-05-01
AA-AA-000-0000,kri0001,84,7,2126,0.003292568,-0.265574985,0,2023-05-01
AA-AA-000-0000,kri0001,147,12,3684,0.003257329,-0.35710089,0,2023-05-01
AA-AA-000-0000,kri0001,35,12,3738,0.003210273,-0.369804472,0,2023-05-01
AA-AA-000-0000,kri0001,109,10,3284,0.003045067,-0.37984323,0,2023-05-01
AA-AA-000-0000,kri0001,61,41,13556,0.003024491,-0.780142621,0,2023-05-01
AA-AA-000-0000,kri0001,131,15,4991,0.00300541,-0.478101935,0,2023-05-01
AA-AA-000-0000,kri0001,72,2,667,0.002998501,-0.175405317,0,2023-05-01
AA-AA-000-0000,kri0001,19,6,2116,0.002835539,-0.338725122,0,2023-05-01
AA-AA-000-0000,kri0001,13,13,4586,0.002834714,-0.49885829,0,2023-05-01
AA-AA-000-0000,kri0001,140,131,48028,0.002727576,-1.696781695,0,2023-05-01
AA-AA-000-0000,kri0001,101,6,2237,0.002682164,-0.373731666,0,2023-05-01
AA-AA-000-0000,kri0001,126,2,754,0.00265252,-0.2198329,0,2023-05-01
AA-AA-000-0000,kri0001,38,2,757,0.002642008,-0.221284743,0,2023-05-01
AA-AA-000-0000,kri0001,110,2,759,0.002635046,-0.222249927,0,2023-05-01
AA-AA-000-0000,kri0001,103,8,3100,0.002580645,-0.459789649,0,2023-05-01
AA-AA-000-0000,kri0001,45,2,775,0.002580645,-0.229894825,0,2023-05-01
AA-AA-000-0000,kri0001,184,9,3558,0.002529511,-0.503288614,0,2023-05-01
AA-AA-000-0000,kri0001,36,2,840,0.002380952,-0.259651581,0,2023-05-01
AA-AA-000-0000,kri0001,149,17,7178,0.002368348,-0.762767221,0,2023-05-01
AA-AA-000-0000,kri0001,26,11,4660,0.002360515,-0.616463189,0,2023-05-01
AA-AA-000-0000,kri0001,50,14,6044,0.002316347,-0.714113401,0,2023-05-01
AA-AA-000-0000,kri0001,51,17,7513,0.002262745,-0.812484901,0,2023-05-01
AA-AA-000-0000,kri0001,148,3,1328,0.002259036,-0.342066203,0,2023-05-01
AA-AA-000-0000,kri0001,63,17,7603,0.002235959,-0.825532766,0,2023-05-01
AA-AA-000-0000,kri0001,106,6,2774,0.002162942,-0.512144717,0,2023-05-01
AA-AA-000-0000,kri0001,34,14,6550,0.002137405,-0.794226236,0,2023-05-01
AA-AA-000-0000,kri0001,41,3,1430,0.002097902,-0.376342614,0,2023-05-01
AA-AA-000-0000,kri0001,96,6,2874,0.002087683,-0.535452456,0,2023-05-01
AA-AA-000-0000,kri0001,23,8,3948,0.002026342,-0.641100884,0,2023-05-01
AA-AA-000-0000,kri0001,167,21,10471,0.002005539,-1.051545732,0,2023-05-01
AA-AA-000-0000,kri0001,30,11,5558,0.001979129,-0.773023262,0,2023-05-01
AA-AA-000-0000,kri0001,9,3,1606,0.001867995,-0.431162486,0,2023-05-01
AA-AA-000-0000,kri0001,172,40,21638,0.0018486,-1.592632267,0,2023-05-01
AA-AA-000-0000,kri0001,77,23,12743,0.001804913,-1.239507572,0,2023-05-01
AA-AA-000-0000,kri0001,28,3,1755,0.001709402,-0.474034813,0,2023-05-01
AA-AA-000-0000,kri0001,153,6,3516,0.001706485,-0.671566187,0,2023-05-01
AA-AA-000-0000,kri0001,92,17,10166,0.001672241,-1.154046117,0,2023-05-01
AA-AA-000-0000,kri0001,67,12,7214,0.001663432,-0.974781944,0,2023-05-01
AA-AA-000-0000,kri0001,177,6,3614,0.00166021,-0.690623129,0,2023-05-01
AA-AA-000-0000,kri0001,29,7,4346,0.001610676,-0.768801021,0,2023-05-01
AA-AA-000-0000,kri0001,113,9,5894,0.001526977,-0.917861141,0,2023-05-01
AA-AA-000-0000,kri0001,155,11,7322,0.001502322,-1.030429577,0,2023-05-01
AA-AA-000-0000,kri0001,33,1,670,0.001492537,-0.312591668,0,2023-05-01
AA-AA-000-0000,kri0001,73,4,2687,0.001488649,-0.626706567,0,2023-05-01
AA-AA-000-0000,kri0001,117,1,672,0.001488095,-0.313461967,0,2023-05-01
AA-AA-000-0000,kri0001,123,1,673,0.001485884,-0.313896406,0,2023-05-01
AA-AA-000-0000,kri0001,152,8,5385,0.001485608,-0.887986613,0,2023-05-01
AA-AA-000-0000,kri0001,6,1,674,0.00148368,-0.314330373,0,2023-05-01
AA-AA-000-0000,kri0001,173,28,19720,0.001419878,-1.73167925,0,2023-05-01
AA-AA-000-0000,kri0001,16,2,1411,0.001417434,-0.463531693,0,2023-05-01
AA-AA-000-0000,kri0001,141,13,9390,0.001384452,-1.206988777,0,2023-05-01
AA-AA-000-0000,kri0001,161,3,2222,0.001350135,-0.592817635,0,2023-05-01
AA-AA-000-0000,kri0001,180,1,757,0.001321004,-0.348829313,0,2023-05-01
AA-AA-000-0000,kri0001,114,6,4678,0.001282599,-0.876369528,0,2023-05-01
AA-AA-000-0000,kri0001,54,16,12817,0.001248342,-1.464218911,0,2023-05-01
AA-AA-000-0000,kri0001,3,2,1666,0.00120048,-0.534753831,0,2023-05-01
AA-AA-000-0000,kri0001,143,23,20038,0.001147819,-1.880730876,0,2023-05-01
AA-AA-000-0000,kri0001,187,4,3719,0.001075558,-0.825702131,0,2023-05-01
AA-AA-000-0000,kri0001,32,2,2013,0.000993542,-0.620393398,0,2023-05-01
AA-AA-000-0000,kri0001,156,6,6566,0.000913798,-1.143133826,0,2023-05-01
AA-AA-000-0000,kri0001,168,1,1437,0.000695894,-0.563766865,0,2023-05-01
AA-AA-000-0000,kri0001,10,7,13112,0.000533862,-1.768074319,0,2023-05-01
AA-AA-000-0000,kri0001,176,1,3344,0.000299043,-0.940543989,0,2023-05-01
AA-AA-000-0000,kri0001,85,3,10099,0.000297059,-1.635200546,0,2023-05-01
AA-AA-000-0000,kri0001,127,0,3586,0,-1.036824249,0,2023-05-01
AA-AA-000-0000,kri0001,144,0,2793,0,-0.915030291,0,2023-05-01
AA-AA-000-0000,kri0001,81,0,2129,0,-0.798891562,0,2023-05-01
AA-AA-000-0000,kri0001,18,0,1350,0,-0.636160775,0,2023-05-01
AA-AA-000-0000,kri0001,158,0,708,0,-0.460698324,0,2023-05-01
AA-AA-000-0000,kri0001,175,0,679,0,-0.45116447,0,2023-05-01
AA-AA-000-0000,kri0001,99,0,662,0,-0.445480807,0,2023-05-01
AA-AA-000-0000,kri0002,28,10,1755,0.005698006,10.64751971,2,2023-05-01
AA-AA-000-0000,kri0002,165,1,219,0.00456621,2.99485695,1,2023-05-01
AA-AA-000-0000,kri0002,154,1,407,0.002457002,2.13568683,1,2023-05-01
AA-AA-000-0000,kri0002,179,3,3130,0.000958466,2.086416312,1,2023-05-01
AA-AA-000-0000,kri0002,12,1,624,0.001602564,1.667796326,0,2023-05-01
AA-AA-000-0000,kri0002,132,1,671,0.001490313,1.596416603,0,2023-05-01
AA-AA-000-0000,kri0002,171,1,671,0.001490313,1.596416603,0,2023-05-01
AA-AA-000-0000,kri0002,50,4,6044,0.000661813,1.843996965,0,2023-05-01
AA-AA-000-0000,kri0002,9,1,1606,0.000622665,0.878753626,0,2023-05-01
AA-AA-000-0000,kri0002,84,1,2126,0.000470367,0.689738804,0,2023-05-01
AA-AA-000-0000,kri0002,58,6,14386,0.000417072,1.501716725,0,2023-05-01
AA-AA-000-0000,kri0002,173,8,19720,0.00040568,1.685008278,0,2023-05-01
AA-AA-000-0000,kri0002,167,4,10471,0.000382007,1.117004052,0,2023-05-01
AA-AA-000-0000,kri0002,64,1,2690,0.000371747,0.541807195,0,2023-05-01
AA-AA-000-0000,kri0002,59,2,5719,0.000349711,0.71375152,0,2023-05-01
AA-AA-000-0000,kri0002,128,1,2961,0.000337724,0.483729631,0,2023-05-01
AA-AA-000-0000,kri0002,103,1,3100,0.000322581,0.456373997,0,2023-05-01
AA-AA-000-0000,kri0002,11,2,6494,0.000307977,0.606685035,0,2023-05-01
AA-AA-000-0000,kri0002,22,1,3366,0.000297089,0.407876801,0,2023-05-01
AA-AA-000-0000,kri0002,140,14,48028,0.000291497,1.484629216,0,2023-05-01
AA-AA-000-0000,kri0002,89,1,3521,0.00028401,0.38165269,0,2023-05-01
AA-AA-000-0000,kri0002,51,2,7513,0.000266205,0.48687946,0,2023-05-01
AA-AA-000-0000,kri0002,139,11,41429,0.000265514,1.136884562,0,2023-05-01
AA-AA-000-0000,kri0002,5,8,30252,0.000264445,0.962987288,0,2023-05-01
AA-AA-000-0000,kri0002,75,2,7621,0.000262433,0.475297086,0,2023-05-01
AA-AA-000-0000,kri0002,94,6,24999,0.00024001,0.698610976,0,2023-05-01
AA-AA-000-0000,kri0002,29,1,4346,0.000230097,0.261382989,0,2023-05-01
AA-AA-000-0000,kri0002,121,1,4456,0.000224417,0.247320556,0,2023-05-01
AA-AA-000-0000,kri0002,56,4,18146,0.000220434,0.474543105,0,2023-05-01
AA-AA-000-0000,kri0002,26,1,4660,0.000214592,0.222231644,0,2023-05-01
AA-AA-000-0000,kri0002,114,1,4678,0.000213767,0.220076289,0,2023-05-01
AA-AA-000-0000,kri0002,76,2,9390,0.000212993,0.308367887,0,2023-05-01
AA-AA-000-0000,kri0002,138,1,4705,0.00021254,0.216860276,0,2023-05-01
AA-AA-000-0000,kri0002,164,1,4932,0.000202758,0.190594927,0,2023-05-01
AA-AA-000-0000,kri0002,190,1,4955,0.000201816,0.188007423,0,2023-05-01
AA-AA-000-0000,kri0002,43,4,23066,0.000173415,0.208269625,0,2023-05-01
AA-AA-000-0000,kri0002,137,1,5789,0.000172741,0.10199123,0,2023-05-01
AA-AA-000-0000,kri0002,62,4,23569,0.000169714,0.18452992,0,2023-05-01
AA-AA-000-0000,kri0002,146,1,5983,0.00016714,0.083861755,0,2023-05-01
AA-AA-000-0000,kri0002,4,1,6192,0.000161499,0.065001019,0,2023-05-01
AA-AA-000-0000,kri0002,54,2,12817,0.000156043,0.065255201,0,2023-05-01
AA-AA-000-0000,kri0002,149,1,7178,0.000139315,-0.016015962,0,2023-05-01
AA-AA-000-0000,kri0002,63,1,7603,0.000131527,-0.047554143,0,2023-05-01
AA-AA-000-0000,kri0002,69,1,8744,0.000114364,-0.124433202,0,2023-05-01
AA-AA-000-0000,kri0002,143,2,20038,9.98103603154007e-05,-0.282636286,0,2023-05-01
AA-AA-000-0000,kri0002,85,1,10099,9.90197049212793e-05,-0.204286037,0,2023-05-01
AA-AA-000-0000,kri0002,92,1,10166,9.83671060397403e-05,-0.207973364,0,2023-05-01
AA-AA-000-0000,kri0002,172,2,21638,9.24299842869027e-05,-0.343379691,0,2023-05-01
AA-AA-000-0000,kri0002,10,1,13112,7.62660158633313e-05,-0.351993022,0,2023-05-01
AA-AA-000-0000,kri0002,166,1,13419,7.45212012817647e-05,-0.365338368,0,2023-05-01
AA-AA-000-0000,kri0002,8,1,17767,5.62841222491135e-05,-0.53161037,0,2023-05-01
AA-AA-000-0000,kri0002,170,1,20714,4.82765279521097e-05,-0.626743008,0,2023-05-01
AA-AA-000-0000,kri0002,189,1,22173,4.50998962702386e-05,-0.670084005,0,2023-05-01
AA-AA-000-0000,kri0002,86,0,15047,0,-0.805143678,0,2023-05-01
AA-AA-000-0000,kri0002,61,0,13556,0,-0.764212623,0,2023-05-01
AA-AA-000-0000,kri0002,118,0,12776,0,-0.741900867,0,2023-05-01
AA-AA-000-0000,kri0002,77,0,12743,0,-0.740942094,0,2023-05-01
AA-AA-000-0000,kri0002,91,0,11534,0,-0.704917676,0,2023-05-01
AA-AA-000-0000,kri0002,141,0,9390,0,-0.636035305,0,2023-05-01
AA-AA-000-0000,kri0002,17,0,9328,0,-0.63393203,0,2023-05-01
AA-AA-000-0000,kri0002,71,0,7509,0,-0.568773664,0,2023-05-01
AA-AA-000-0000,kri0002,155,0,7322,0,-0.561646801,0,2023-05-01
AA-AA-000-0000,kri0002,67,0,7214,0,-0.557489248,0,2023-05-01
AA-AA-000-0000,kri0002,7,0,7176,0,-0.556019012,0,2023-05-01
AA-AA-000-0000,kri0002,156,0,6566,0,-0.531861882,0,2023-05-01
AA-AA-000-0000,kri0002,34,0,6550,0,-0.531213468,0,2023-05-01
AA-AA-000-0000,kri0002,104,0,6524,0,-0.530158102,0,2023-05-01
AA-AA-000-0000,kri0002,122,0,6484,0,-0.528530349,0,2023-05-01
AA-AA-000-0000,kri0002,113,0,5894,0,-0.503910598,0,2023-05-01
AA-AA-000-0000,kri0002,30,0,5558,0,-0.489336598,0,2023-05-01
AA-AA-000-0000,kri0002,152,0,5385,0,-0.481660776,0,2023-05-01
AA-AA-000-0000,kri0002,157,0,5335,0,-0.479419438,0,2023-05-01
AA-AA-000-0000,kri0002,160,0,5134,0,-0.470301495,0,2023-05-01
AA-AA-000-0000,kri0002,131,0,4991,0,-0.463705462,0,2023-05-01
AA-AA-000-0000,kri0002,13,0,4586,0,-0.444493539,0,2023-05-01
AA-AA-000-0000,kri0002,134,0,4554,0,-0.44294004,0,2023-05-01
AA-AA-000-0000,kri0002,83,0,4471,0,-0.438885024,0,2023-05-01
AA-AA-000-0000,kri0002,80,0,4370,0,-0.433899496,0,2023-05-01
AA-AA-000-0000,kri0002,23,0,3948,0,-0.412417418,0,2023-05-01
AA-AA-000-0000,kri0002,35,0,3738,0,-0.401298998,0,2023-05-01
AA-AA-000-0000,kri0002,174,0,3734,0,-0.401084227,0,2023-05-01
AA-AA-000-0000,kri0002,187,0,3719,0,-0.400277811,0,2023-05-01
AA-AA-000-0000,kri0002,133,0,3699,0,-0.399200055,0,2023-05-01
AA-AA-000-0000,kri0002,147,0,3684,0,-0.398389825,0,2023-05-01
AA-AA-000-0000,kri0002,135,0,3676,0,-0.397957028,0,2023-05-01
AA-AA-000-0000,kri0002,177,0,3614,0,-0.394586753,0,2023-05-01
AA-AA-000-0000,kri0002,127,0,3586,0,-0.393055221,0,2023-05-01
AA-AA-000-0000,kri0002,184,0,3558,0,-0.391517698,0,2023-05-01
AA-AA-000-0000,kri0002,15,0,3550,0,-0.391077296,0,2023-05-01
AA-AA-000-0000,kri0002,97,0,3545,0,-0.390801792,0,2023-05-01
AA-AA-000-0000,kri0002,153,0,3516,0,-0.389200026,0,2023-05-01
AA-AA-000-0000,kri0002,44,0,3357,0,-0.380298049,0,2023-05-01
AA-AA-000-0000,kri0002,176,0,3344,0,-0.379560982,0,2023-05-01
AA-AA-000-0000,kri0002,109,0,3284,0,-0.376140417,0,2023-05-01
AA-AA-000-0000,kri0002,186,0,3203,0,-0.371472695,0,2023-05-01
AA-AA-000-0000,kri0002,27,0,3034,0,-0.361539885,0,2023-05-01
AA-AA-000-0000,kri0002,39,0,2957,0,-0.356922634,0,2023-05-01
AA-AA-000-0000,kri0002,96,0,2874,0,-0.351877752,0,2023-05-01
AA-AA-000-0000,kri0002,144,0,2793,0,-0.346883702,0,2023-05-01
AA-AA-000-0000,kri0002,106,0,2774,0,-0.345701812,0,2023-05-01
AA-AA-000-0000,kri0002,49,0,2717,0,-0.342131646,0,2023-05-01
AA-AA-000-0000,kri0002,142,0,2693,0,-0.340617223,0,2023-05-01
AA-AA-000-0000,kri0002,73,0,2687,0,-0.340237564,0,2023-05-01
AA-AA-000-0000,kri0002,68,0,2679,0,-0.339730692,0,2023-05-01
